"x","y","cd","ni","zn"
3.675,4.293,0.89,22.96,66
3.681,5.69,1.898,28.36,86
2.461,3.423,0.37,6.08,47.2
4.576,1.411,1.38,25.76,71.6
2.223,0.58,0.285,24.52,76
3.031,1.201,0.61,10.36,51.24
3.347,2.505,0.625,19.2,43.6
2.465,4.003,0.325,4.72,35.08
3.175,2.102,1.985,37.2,89.84
3.733,0.974,0.95,26.52,74
3.085,1.677,2.04,29.8,107.2
2.595,3.638,0.325,4.76,40.8
4.279,3.283,0.83,24.64,84.4
2.933,0.978,0.8,16,100.4
3.59,4.033,2.08,24.84,79.6
2.883,1.237,2.55,16.12,96.96
2.429,1.62,2.535,26.64,126.8
2.333,2.417,1.435,21.32,110.32
0.626,1.652,0.375,14.4,46.4
2.969,0.778,1.93,33.76,166.28
0.971,1.576,1.215,15.2,64
1.392,1.846,1.05,20,48.4
2.54,3.32,1.26,17.6,62.8
1.738,1.771,0.685,16.24,76
2.243,3.031,0.705,14.6,59.88
3.656,2.63,1.385,5.36,49.2
2.325,4.143,0.505,10.92,54.4
4.55,1.416,1.74,27.72,73.6
4.325,1.436,0.56,13.72,57.2
3.669,4.291,1.917,18.72,59.6
1.877,1.186,0.32,6.44,39.88
3.044,1.123,0.63,18.68,80.76
3.001,2.581,4.18,22.2,81.72
3.136,2.091,1.11,30.32,79
2.633,3.65,0.425,5.04,61.6
3.721,4.239,0.28,12.28,46.4
2.333,2.367,1.39,28.2,135.88
4.038,2.354,2.805,32.92,65.6
3.117,1.702,1.71,35,106.36
1.824,0.999,0.165,7.08,44
2.85,1.89,1.36,7.08,28.88
2.502,3.988,0.24,5.2,32.24
1.443,1.509,1.445,20.68,75.6
2.008,1.35,0.515,8.96,50.4
2.978,4.009,0.56,12.4,49.2
1.662,1.425,0.905,16.56,78.4
1.587,1.08,0.605,11.44,54
3.994,3.814,2.423,28.32,84
4.383,2.279,0.785,22.72,60.8
2.901,4.919,0.81,14.92,42
4.156,1.242,1.1,17.92,44
4.475,3.526,0.951,20.36,70.8
2.58,3.654,0.275,4.64,33.44
0.701,1.997,1.58,32.2,86
3.649,3.887,1.06,29.24,80.8
2.623,0.853,2.58,27.36,106.4
1.315,1.975,3.68,28.72,89.6
3.656,2.67,1.875,25.4,65.2
4.426,0.821,0.805,26,61.6
2.882,3.693,0.535,5.4,32.92
1.108,1.535,2.055,23.16,108
4.84,1.089,0.555,19.6,64.8
1.468,2.192,1.51,30.68,80.4
2.319,4.103,0.58,10.92,50.4
3.585,4.04,1.97,25.76,99.2
3.647,3.786,0.765,20.96,90.8
2.31,2.732,0.735,23.24,79.04
3.962,2.009,1.445,34.4,104.4
3.47,5.555,2.234,29.68,64
1.839,0.995,0.225,10.12,56
1.706,1.165,0.74,8.68,62.4
2.774,1.544,1.915,20.64,90.24
3.493,5.092,3.421,20.44,134.4
1.695,3.227,1.835,21.44,97.48
4.409,1.084,1.77,27,89.2
2.596,3.212,3.995,22,118.24
1.897,1.22,0.26,4.76,27.2
2.083,1.695,0.44,16.68,54.8
3.673,4.278,1.015,19.28,70.4
2.731,3.002,0.485,20.92,57.96
4.264,3.391,2.828,24.96,132.8
3.792,2.707,1.38,17.12,55.2
3.39,1.048,1.66,29.32,123.32
3.184,5.075,0.685,16.32,53.6
3.644,2.677,0.93,23.12,56.4
3.504,5.13,5.129,18.28,135.6
2.242,3.036,0.725,12.72,56.72
3.332,4.628,0.74,17.2,83.2
3.498,3.196,0.99,22.92,65.6
1.883,1.176,0.195,7.52,43.2
3.322,3.001,1.34,23.12,81.2
1.047,1.922,1.24,22.52,83.2
3.843,3.121,1.84,35.28,86
1.301,0.599,0.91,18,75.2
1.106,1.548,1.27,19.44,65.2
1.114,1.535,1.48,26.16,140.4
1.511,0.734,1.245,21.96,71.2
1.317,1.501,1.385,19.64,94.8
1.439,1.523,1.72,16.52,75.6
1.651,1.157,0.525,8.36,49.6
1.701,1.169,0.69,9.04,45.6
1.857,0.659,3.53,24.44,124.8
1.346,1.954,0.93,20.24,69.2
1.354,1.966,1.165,24,59.6
1.35,1.97,3.81,27.08,102
1.932,1.004,0.135,5.24,32.56
1.837,1.037,0.215,8.16,44
1.69,1.858,1.775,22.36,91.6
1.72,1.833,0.585,15.96,76.8
1.543,2.537,1.563,28.72,104
2.353,1.274,0.275,4.2,37.88
1.889,2.462,2.505,31.04,78.4
2.327,2.417,1.385,22.6,123
2.504,1.965,1.79,25.64,80.32
2.599,1.996,2.115,53.2,133.88
2.561,1.984,1.63,42.92,77.4
2.898,1.274,2.7,15,99.6
2.902,1.263,4.495,22.64,101.68
3.085,1.214,0.765,11.28,86.2
3.046,1.205,0.4,13.36,44
3.025,1.201,0.32,7.2,43.72
2.04,3.153,0.655,8.24,51.24
2.234,2.737,1.11,24.44,71.12
2.22,2.732,0.77,23.88,62.28
2.224,2.728,1.205,27.44,85.52
2.58,2.311,1.555,23.92,77.56
2.254,3.045,0.575,13.2,66.92
2.656,2.656,0.525,18,91.48
3.465,1.393,0.705,17.6,96.6
2.553,3.314,0.99,15.72,60.12
2.538,3.314,1.655,17.32,81.6
2.402,3.979,0.515,8.2,43.2
2.456,3.99,0.35,4.92,37.16
2.537,3.768,0.23,5.68,32.08
2.584,3.649,0.305,5.6,44.8
3.887,1.663,1.535,32.4,85.6
4.412,1.088,1.53,26.4,80.8
2.795,3.645,0.3,6.32,27.12
2.837,3.679,0.425,8,31.48
2.832,3.676,0.36,11.8,28.92
3.308,2.963,1.06,23.92,78.4
3.422,2.851,0.9,26.2,94.8
3.692,2.43,1.61,8.76,31.16
4.331,1.449,0.95,18.72,61.2
4.333,1.455,0.82,16.72,67.6
4.502,1.167,0.86,20.12,61.6
3.228,3.617,1.835,24,90
3.768,2.775,0.22,17.52,45.2
3.768,2.675,1.095,28.8,56.8
3.798,2.694,0.995,19.12,54
4.59,1.414,0.96,21.92,64.8
4.571,1.407,1.4,26.4,70.8
4.745,1.372,0.69,23.68,66.4
4.788,1.647,0.72,26.72,63.2
2.974,4.937,2.26,21.52,77.6
2.906,4.922,1.13,13.2,32.84
3.109,4.729,0.645,8.88,42.4
3.04,4.713,0.63,9.36,36.64
3.919,3.466,0.86,17.48,58.8
4.189,3.045,1.645,20.32,90.4
3.652,4.312,3.149,27.72,98
3.894,3.805,0.552,20.12,79.2
3.917,3.773,1.568,22.28,71.6
3.925,3.779,0.855,21,59.6
4.252,3.292,0.733,22.24,74
4.292,3.29,2.08,28.64,110.8
4.283,3.278,0.844,26.48,90
3.53,4.999,0.49,16.76,56.8
4.07,4.157,1.916,28.44,90.8
4.61,3.315,1.384,20.72,46.8
3.605,5.345,0.849,17.56,58
